Date,Currency,Expiry,UnderlyingTenor,Moneyness,Strike,NormalVol,LogNormalVol,OptionPrice,Annuity
06/10/2020,USD,1M,10Y,0,0.007555973167693,0.00700033777999873,0.929204380512238,0.00788149515534677,9.84385835429496
06/10/2020,USD,1Y,10Y,0,0.008449737324573,0.00647581337166612,0.786178079247475,0.0253041882659458,9.79462966791563
06/10/2020,USD,2Y,10Y,0,0.009515286946536,0.00643808362666632,0.704714013636112,0.0353188813504123,9.7235591970135
06/10/2020,USD,3M,10Y,0,0.007710034189681,0.00667961233499905,0.873297730088234,0.013161374238821,9.83767413939485
06/10/2020,USD,6M,10Y,0,0.007952334946083,0.0066164194216661,0.844421175122261,0.0183610068445769,9.82390799006587
06/10/2020,USD,1M,15Y,0,0.009318175966293,0.00753439692833214,0.810388877987862,0.0124620738222996,14.4616405440468
06/10/2020,USD,1Y,15Y,0,0.009937652241416,0.00673712161666655,0.691471049189568,0.0386095749543288,14.3651633084057
06/10/2020,USD,2Y,15Y,0,0.010660136481351,0.00658860260999963,0.639169421792031,0.052964870139439,14.2485127117668
06/10/2020,USD,3M,15Y,0,0.009423468167195,0.00710538081499968,0.758568532764912,0.0205496805069452,14.4397664123315
06/10/2020,USD,6M,15Y,0,0.009591738673515,0.00691859876499949,0.729332119226456,0.0281699416763915,14.4138044037058
06/10/2020,USD,1M,1Y,0,0.002967452247346,0.00248360302999798,0.838965883851051,0.00028394769884869,0.999613036780398
06/10/2020,USD,1Y,1Y,0,0.002356595020637,0.00298630962999938,1.36648108959198,0.0011908552456966,0.999571980034895
06/10/2020,USD,2Y,1Y,0,0.003049148371091,0.00394634762999996,1.56061766147613,0.00222469011076802,0.999192398542505
06/10/2020,USD,3M,1Y,0,0.002730446499025,0.00236950871833323,0.87479005753994,0.000474392298284892,0.999589697777399
06/10/2020,USD,6M,1Y,0,0.002530410851383,0.00253402573999928,1.02338499724865,0.000715511422321978,0.999577267250339
06/10/2020,USD,1M,20Y,0,0.010152982337034,0.00789866875166563,0.779584927856922,0.0170196426340762,18.8396259033517
06/10/2020,USD,1Y,20Y,0,0.010601208981788,0.00687442473833298,0.660256090760231,0.0512771035592387,18.6972208606852
06/10/2020,USD,2Y,20Y,0,0.01112768557618,0.00666288224333322,0.617872896790505,0.0697078741995979,18.5436250486253
06/10/2020,USD,3M,20Y,0,0.01022953658645,0.00734715388333308,0.722165404260159,0.0276806483611407,18.8104668814592
06/10/2020,USD,6M,20Y,0,0.010351969691818,0.00707759131999985,0.690511891245842,0.0375329568705115,18.7731919050707
06/10/2020,USD,1M,2Y,0,0.002676234544672,0.00280761009999889,1.05307547003031,0.000641967317450387,1.99917983096117
06/10/2020,USD,1Y,2Y,0,0.002702805935128,0.00354006554999938,1.42073690295219,0.00282281860089901,1.9987643785774
06/10/2020,USD,2Y,2Y,0,0.003901463795185,0.00433326776333307,1.25890956968069,0.00488133282850918,1.99663109735635
06/10/2020,USD,3M,2Y,0,0.002592650728217,0.0027437562983332,1.07104711011052,0.00109861506337702,1.99913658805385
06/10/2020,USD,6M,2Y,0,0.002574697756712,0.00297553834499948,1.18996762037277,0.00168027905983424,1.99906394062226
06/10/2020,USD,1M,30Y,0,0.010657795543066,0.0084180957333326,0.791548532247543,0.0259691720732336,26.9724242890152
06/10/2020,USD,1Y,30Y,0,0.010920467272428,0.007116551328333,0.663651324808598,0.0759926108158584,26.7665078414716
06/10/2020,USD,2Y,30Y,0,0.011230317032743,0.00678433001666629,0.623755544424057,0.101570282074763,26.5359493360019
06/10/2020,USD,3M,30Y,0,0.010702334558132,0.00775292075833287,0.728453347086906,0.0418261593989136,26.9355033566864
06/10/2020,USD,6M,30Y,0,0.010774226904734,0.00738302031666627,0.692112244665623,0.0560588381031803,26.8794792211882
06/10/2020,USD,1M,5Y,0,0.004063347907973,0.00475131449499904,1.17484006881714,0.00271103690941611,4.98881491076077
06/10/2020,USD,1Y,5Y,0,0.005145320840667,0.00491287863999976,0.994308969378471,0.009761632730888,4.98053919154177
06/10/2020,USD,2Y,5Y,0,0.006752949805205,0.00531677236666637,0.83310324549675,0.0148741721894795,4.95860683100956
06/10/2020,USD,3M,5Y,0,0.004219329380793,0.00466021073833322,1.11903515309095,0.00465757771350284,4.98995933564741
06/10/2020,USD,6M,5Y,0,0.004499756077582,0.00476147718999928,1.08420997858047,0.00670797393265037,4.98724242806308
